tiempo,energia_activa,temp_celsius,hr,lluvia_mm,dir_viento,vel_viento,vel_rafagas
2019-03-04 02:00:00,848.4,24.605,98.88333333333334,0.0,200.75,0.0,0.37666666666666665
2019-03-04 03:00:00,844.2,24.754166666666666,98.68333333333334,0.03333333333333333,324.06666666666666,0.125,1.3849999999999998
2019-03-04 04:00:00,835.8,24.80633333333333,98.59999999999998,0.0,322.4166666666667,0.08333333333333333,0.7566666666666667
2019-03-04 05:00:00,823.2,24.58083333333333,98.68333333333334,0.0,301.8,0.0,0.0
2019-03-04 06:00:00,798.0,24.5445,98.85000000000001,0.0,296.90000000000003,0.0,0.0
2019-03-04 07:00:00,760.2,26.4635,98.06666666666666,0.0,270.71666666666664,0.0,0.20833333333333334
2019-03-04 08:00:00,793.8,29.328,91.66666666666667,0.0,215.48333333333335,0.041666666666666664,0.9233333333333333
2019-03-04 09:00:00,827.4,29.76733333333333,81.26666666666667,0.0,237.48333333333335,0.041666666666666664,1.3033333333333335
2019-03-04 10:00:00,856.8,29.925833333333333,75.83333333333333,0.0,243.8166666666667,0.20833333333333334,1.8866666666666667
2019-03-04 11:00:00,886.2,30.577833333333334,72.83333333333333,0.0,186.48333333333335,0.6716666666666667,3.188333333333333
2019-03-04 12:00:00,907.2,31.665833333333335,67.61666666666666,0.0,123.55,0.45999999999999996,2.433333333333333
2019-03-04 13:00:00,932.4,31.532666666666668,70.18333333333334,0.0,229.53333333333333,0.9266666666666667,2.811666666666667
2019-03-04 14:00:00,936.5999999999999,30.709999999999997,74.18333333333334,0.0,159.6,0.7999999999999999,2.77
2019-03-04 15:00:00,945.0,29.602500000000003,79.95,0.0,81.2,1.4283333333333335,4.323333333333333
2019-03-04 16:00:00,936.6,29.819666666666667,79.48333333333333,0.0,138.78333333333333,0.8416666666666667,3.19
2019-03-04 17:00:00,882.0,29.185999999999996,79.14999999999999,0.0,240.0666666666667,0.6699999999999999,3.106666666666667
2019-03-04 18:00:00,907.2,27.900499999999997,81.01666666666667,0.0,153.03333333333333,0.3333333333333333,1.7216666666666667
2019-03-04 19:00:00,877.8,26.903833333333335,85.03333333333333,0.0,179.01666666666665,0.125,1.4683333333333335
2019-03-04 20:00:00,865.2,25.691666666666666,90.76666666666667,0.0,190.66666666666666,0.29333333333333333,1.72
2019-03-04 21:00:00,865.2,25.748333333333335,93.35000000000001,0.0,212.0,0.0,0.6283333333333333
2019-03-04 22:00:00,856.8,25.995333333333335,93.7,0.0,220.4,0.0,0.5033333333333333
2019-03-04 23:00:00,844.2,26.101166666666668,93.2,0.0,244.03333333333333,0.08333333333333333,0.5866666666666667
2019-03-05 00:00:00,831.6,25.800833333333333,92.66666666666667,0.0,239.11666666666667,0.08333333333333333,1.3
2019-03-05 01:00:00,831.6,25.0205,93.98333333333333,0.0,198.41666666666666,0.20833333333333334,1.4283333333333335
2019-03-05 02:00:00,823.2,24.964,94.43333333333334,0.0,223.4333333333333,0.041666666666666664,0.755
2019-03-05 03:00:00,823.2,24.4965,93.98333333333333,0.0,283.59999999999997,0.25166666666666665,1.6366666666666667
2019-03-05 04:00:00,814.8,24.194666666666667,94.88333333333333,0.16666666666666666,251.54999999999998,0.16833333333333333,1.385
2019-03-05 05:00:00,798.0,24.066166666666664,95.76666666666667,0.13333333333333333,295.98333333333335,0.041666666666666664,0.7566666666666667
2019-03-05 06:00:00,781.2,24.018,96.46666666666665,0.0,140.86666666666665,0.0,0.5883333333333334
2019-03-05 07:00:00,840.0,24.001833333333334,96.95,0.10000000000000002,278.43333333333334,0.0,0.9249999999999999
2019-03-05 08:00:00,898.8000000000001,24.090166666666665,97.36666666666667,0.10000000000000002,258.78333333333336,0.12666666666666668,0.84
2019-03-05 09:00:00,886.2,23.96966666666667,97.75,0.26666666666666666,232.10000000000002,0.42,2.308333333333333
2019-03-05 10:00:00,894.6,23.833166666666667,98.26666666666667,0.7999999999999999,346.8,0.46166666666666667,2.015
2019-03-05 11:00:00,898.8,24.42,98.51666666666667,0.3333333333333333,337.18333333333334,0.0,0.37666666666666665
2019-03-05 12:00:00,915.6,25.985666666666663,98.33333333333333,0.06666666666666667,296.0,0.0,0.125
2019-03-05 13:00:00,894.6,28.415999999999997,91.78333333333335,0.0,327.8333333333333,0.29333333333333333,1.89
2019-03-05 14:00:00,894.6,29.5325,81.68333333333334,0.0,240.3166666666667,0.5866666666666667,2.433333333333333
2019-03-05 15:00:00,924.0,28.766833333333334,81.45,0.0,139.23333333333332,0.7566666666666667,2.393333333333333
2019-03-05 16:00:00,928.2,28.650833333333335,80.91666666666667,0.0,44.449999999999996,0.5883333333333334,2.013333333333333
2019-03-05 17:00:00,919.8,27.878833333333333,83.41666666666667,0.0,89.86666666666666,0.45999999999999996,2.265
2019-03-05 18:00:00,869.4,27.492833333333333,84.78333333333333,0.0,149.08333333333334,0.125,1.385
2019-03-05 19:00:00,886.2,27.070999999999998,87.2,0.0,247.3166666666667,0.08333333333333333,1.4283333333333335
2019-03-05 20:00:00,877.8,26.96083333333333,88.8,0.0,160.51666666666668,0.0,0.715
2019-03-05 21:00:00,882.0,26.548666666666666,89.96666666666665,0.0,182.04999999999998,0.375,2.643333333333333
2019-03-05 22:00:00,869.4,26.532333333333337,90.18333333333334,0.0,139.91666666666666,0.08333333333333333,1.845
2019-03-05 23:00:00,844.2,26.459333333333333,88.14999999999999,0.0,195.61666666666667,0.0,1.5116666666666667
2019-03-06 00:00:00,835.8,26.332833333333337,89.06666666666666,0.0,137.35,0.0,1.3433333333333335
2019-03-06 01:00:00,823.2,26.007833333333334,90.01666666666667,0.0,264.65000000000003,0.0,1.05
2019-03-06 02:00:00,814.8,25.732,91.51666666666667,0.0,276.34999999999997,0.125,1.26
2019-03-06 03:00:00,814.8,25.51733333333333,92.01666666666667,0.0,279.6333333333333,0.08333333333333333,0.84
2019-03-06 04:00:00,810.6,25.590166666666665,92.51666666666667,0.0,314.26666666666665,0.0,0.12666666666666668
2019-03-06 05:00:00,810.6,25.468666666666667,92.53333333333335,0.0,226.26666666666665,0.125,1.0933333333333335
2019-03-06 06:00:00,873.6,25.47283333333333,92.8,0.0,282.65000000000003,0.041666666666666664,1.1766666666666667
2019-03-06 07:00:00,1449.0,25.813,92.95,0.0,230.95000000000002,0.0,0.5883333333333334
2019-03-06 08:00:00,2436.0,26.749666666666666,91.8,0.0,193.73333333333335,0.125,1.5116666666666667
2019-03-06 09:00:00,2910.6,28.680666666666667,85.75,0.0,182.03333333333333,0.5033333333333333,2.348333333333333
2019-03-06 10:00:00,3124.8,30.015,78.81666666666666,0.0,197.70000000000002,0.2916666666666667,2.0566666666666666
2019-03-06 11:00:00,3297.0,31.22566666666667,71.64999999999999,0.0,173.16666666666666,0.7583333333333333,3.106666666666667
